request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_252,28082000,affordable_with_plan,installments,2026-07-19:1778526.67|2026-08-19:1778526.67|2026-09-19:1778526.67|2026-10-20:1778526.67|2026-11-20:1778526.67|2026-12-21:1778526.67|2027-01-21:1778526.67|2027-02-21:1778526.67|2027-03-24:1778526.67|2027-04-24:1778526.67|2027-05-25:1778526.67|2027-06-25:1778526.67|2027-07-26:1778526.67|2027-08-26:1778526.67|2027-09-26:1778526.67|2027-10-27:1778526.67|2027-11-27:1778526.67|2027-12-28:1778526.67,2026-09-15,none,Use installments starting 2026-07-19.
request_253,2840.20,affordable_with_plan,installments,2024-03-07:159.59|2024-04-04:159.59|2024-05-02:159.59|2024-05-30:159.59|2024-06-27:159.59|2024-07-25:159.59|2024-08-22:159.59|2024-09-19:159.59|2024-10-17:159.59|2024-11-14:159.59|2024-12-12:159.59|2025-01-09:159.59|2025-02-06:159.59|2025-03-06:159.59|2025-04-03:159.59|2025-05-01:159.59|2025-05-29:159.59|2025-06-26:159.59|2025-07-24:159.59|2025-08-21:159.59|2025-09-18:159.59,2024-06-01,none,Use installments starting 2024-03-07.
request_254,3535.20,affordable_with_plan,installments,2025-08-07:259.25|2025-09-06:259.25|2025-10-06:259.25|2025-11-05:259.25|2025-12-05:259.25|2026-01-04:259.25|2026-02-03:259.25|2026-03-05:259.25|2026-04-04:259.25|2026-05-04:259.25|2026-06-03:259.25|2026-07-03:259.25|2026-08-02:259.25|2026-09-01:259.25|2026-10-01:259.25,2025-10-15,none,Use installments starting 2025-08-07.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today.
request_256,218700,affordable_now,full_payment,2024-06-03:218700,2024-06-03,none,Pay INR 218700 today.
request_257,1352.40,affordable_with_plan,installments,2025-11-05:99.18|2025-12-05:99.18|2026-01-04:99.18|2026-02-03:99.18|2026-03-05:99.18|2026-04-04:99.18|2026-05-04:99.18|2026-06-03:99.18|2026-07-03:99.18|2026-08-02:99.18|2026-09-01:99.18|2026-10-01:99.18|2026-10-31:99.18|2026-11-30:99.18|2026-12-30:99.18,2026-01-15,none,Use installments starting 2025-11-05.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today.
request_259,935,affordable_with_plan,installments,2024-09-11:52.54|2024-10-09:52.54|2024-11-06:52.54|2024-12-04:52.54|2025-01-01:52.54|2025-01-29:52.54|2025-02-26:52.54|2025-03-26:52.54|2025-04-23:52.54|2025-05-21:52.54|2025-06-18:52.54|2025-07-16:52.54|2025-08-13:52.54|2025-09-10:52.54|2025-10-08:52.54|2025-11-05:52.54|2025-12-03:52.54|2025-12-31:52.54|2026-01-28:52.54|2026-02-25:52.54|2026-03-25:52.54,2024-11-15,none,Use installments starting 2024-09-11.
request_260,52079000,affordable_with_plan,installments,2025-02-20:3819126.67|2025-03-22:3819126.67|2025-04-21:3819126.67|2025-05-21:3819126.67|2025-06-20:3819126.67|2025-07-20:3819126.67|2025-08-19:3819126.67|2025-09-18:3819126.67|2025-10-18:3819126.67|2025-11-17:3819126.67|2025-12-17:3819126.67|2026-01-16:3819126.67|2026-02-15:3819126.67|2026-03-17:3819126.67|2026-04-16:3819126.67,2025-04-18,none,Use installments starting 2025-02-20.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today.
request_263,51546,affordable_with_plan,installments,2025-05-14:3780.04|2025-06-13:3780.04|2025-07-13:3780.04|2025-08-12:3780.04|2025-09-11:3780.04|2025-10-11:3780.04|2025-11-10:3780.04|2025-12-10:3780.04|2026-01-09:3780.04|2026-02-08:3780.04|2026-03-10:3780.04|2026-04-09:3780.04|2026-05-09:3780.04|2026-06-08:3780.04|2026-07-08:3780.04,2025-06-15,none,Use installments starting 2025-05-14.
request_264,111300,affordable_with_plan,installments,2026-04-18:7049|2026-05-19:7049|2026-06-19:7049|2026-07-20:7049|2026-08-20:7049|2026-09-20:7049|2026-10-21:7049|2026-11-21:7049|2026-12-22:7049|2027-01-22:7049|2027-02-22:7049|2027-03-25:7049|2027-04-25:7049|2027-05-26:7049|2027-06-26:7049|2027-07-27:7049|2027-08-27:7049|2027-09-27:7049,2026-06-15,none,Use installments starting 2026-04-18.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today.
request_266,935,affordable_now,full_payment,2025-08-03:935,2025-08-03,none,Pay EUR 935 today.
request_267,1925,affordable_now,full_payment,2026-01-05:1925,2026-01-05,none,Pay EUR 1925 today.
request_268,2426.60,affordable_with_plan,installments,2024-06-21:136.35|2024-07-19:136.35|2024-08-16:136.35|2024-09-13:136.35|2024-10-11:136.35|2024-11-08:136.35|2024-12-06:136.35|2025-01-03:136.35|2025-01-31:136.35|2025-02-28:136.35|2025-03-28:136.35|2025-04-25:136.35|2025-05-23:136.35|2025-06-20:136.35|2025-07-18:136.35|2025-08-15:136.35|2025-09-12:136.35|2025-10-10:136.35|2025-11-07:136.35|2025-12-05:136.35|2026-01-02:136.35,2024-08-15,none,Use installments starting 2024-06-21.
request_269,15490,affordable_now,full_payment,2025-11-04:15490,2025-11-04,none,Pay ZAR 15490 today.
request_270,3028.80,affordable_with_plan,installments,2026-07-09:191.82|2026-08-09:191.82|2026-09-09:191.82|2026-10-10:191.82|2026-11-10:191.82|2026-12-11:191.82|2027-01-11:191.82|2027-02-11:191.82|2027-03-14:191.82|2027-04-14:191.82|2027-05-15:191.82|2027-06-15:191.82|2027-07-16:191.82|2027-08-16:191.82|2027-09-16:191.82|2027-10-17:191.82|2027-11-17:191.82|2027-12-18:191.82,2026-08-30,none,Use installments starting 2026-07-09.
request_271,91300,affordable_with_plan,installments,2024-09-10:5130.19|2024-10-08:5130.19|2024-11-05:5130.19|2024-12-03:5130.19|2024-12-31:5130.19|2025-01-28:5130.19|2025-02-25:5130.19|2025-03-25:5130.19|2025-04-22:5130.19|2025-05-20:5130.19|2025-06-17:5130.19|2025-07-15:5130.19|2025-08-12:5130.19|2025-09-09:5130.19|2025-10-07:5130.19|2025-11-04:5130.19|2025-12-02:5130.19|2025-12-30:5130.19|2026-01-27:5130.19|2026-02-24:5130.19|2026-03-24:5130.19,2024-11-15,none,Use installments starting 2024-09-10.
request_272,13585000,affordable_with_plan,installments,2025-02-19:996233.33|2025-03-21:996233.33|2025-04-20:996233.33|2025-05-20:996233.33|2025-06-19:996233.33|2025-07-19:996233.33|2025-08-18:996233.33|2025-09-17:996233.33|2025-10-17:996233.33|2025-11-16:996233.33|2025-12-16:996233.33|2026-01-15:996233.33|2026-02-14:996233.33|2026-03-16:996233.33|2026-04-15:996233.33,2025-04-10,none,Use installments starting 2025-02-19.
request_273,15861000,affordable_later,wait,2026-06-15:15861000,2026-06-15,none,Pay in full on 2026-06-15.
request_274,2713.70,affordable_now,full_payment,2024-12-04:2713.70,2024-12-04,none,Pay EUR 2713.70 today.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today.
